ncl,cltype,maxpix x,maxpix y,maxpix v,Npix,Nvox,lumco,errlumco,COmax,mlumco,errmlumco,meansigv,errsigv,a,b,R,errR,area,perim
0,1,685,1613,24,8.539e+04,5.056e+05,1.098e+08,1237,34.8,1.071e+08,1.071e+07,92.32,4.671,262.8,103.5,267.5,68.82,3.282e+05,1.273e+04
1,1,685,1613,24,7.87e+04,4.918e+05,1.011e+08,1220,34.8,9.858e+07,9.858e+06,89.74,4.458,259.9,102.4,264.6,76.72,2.816e+05,1.085e+04
2,1,685,1613,24,6.895e+04,4.604e+05,8.423e+07,1181,34.8,8.212e+07,8.212e+06,90.13,4.523,263.1,103.8,268,69.03,2.128e+05,8571
3,1,685,1613,24,6.203e+04,4.194e+05,7.227e+07,1127,34.8,7.046e+07,7.046e+06,90.63,4.936,264.9,101.8,266.4,90.77,1.758e+05,6887
4,1,685,1613,24,5.565e+04,3.629e+05,5.863e+07,1048,34.8,5.716e+07,5.716e+06,89.49,5.035,259.5,101.6,263.4,97.59,1.418e+05,6373
5,1,685,1613,24,3.512e+04,2.429e+05,3.818e+07,857.4,34.8,3.722e+07,3.722e+06,88.36,4.836,242.3,85.91,233.9,95.42,8.129e+04,4244
6,1,685,1613,24,1.912e+04,1.528e+05,2.398e+07,680.1,34.8,2.338e+07,2.338e+06,55.63,2.284,119.1,92.63,169.8,50.21,4.504e+04,2246
7,1,685,1613,24,3.622e+04,2.654e+05,4.21e+07,896.4,34.8,4.105e+07,4.105e+06,88.9,4.913,259.2,96.11,255.9,151.1,8.42e+04,4079
8,1,685,1613,24,1.836e+04,1.452e+05,2.231e+07,663.1,34.8,2.176e+07,2.176e+06,55.7,2.297,119.6,92.38,169.9,43.04,4.216e+04,2216
9,1,685,1613,24,1.361e+04,1.138e+05,1.767e+07,586.9,34.8,1.722e+07,1.722e+06,54.3,2.288,29.02,101.7,86.52,60.37,3.06e+04,1523
10,1,685,1613,24,1.174e+04,1.008e+05,1.609e+07,552.6,34.8,1.569e+07,1.569e+06,51.92,2.074,28.43,101.7,85.6,58.46,2.618e+04,1230
11,1,685,1613,24,1.049e+04,7.998e+04,1.366e+07,492.2,34.8,1.332e+07,1.332e+06,50.38,2.027,28.25,100.2,84.67,62.58,2.339e+04,1123
12,1,685,1613,24,3.527e+04,2.442e+05,3.839e+07,859.8,34.8,3.743e+07,3.743e+06,88.39,4.841,242.8,85.87,234.1,90.7,8.171e+04,4226
13,1,507,1864,13,2260,1.64e+04,2.859e+06,223.1,24.84,2.787e+06,2.787e+05,31.99,1.289,17.45,33.21,34.94,13.51,5039,391.2
14,1,1315,1341,43,4.48e+04,1.840e+05,1.059e+08,746.5,28.44,1.032e+08,1.032e+07,131,6.602,20.93,30.97,37.44,10.98,3.921e+05,1.125e+04
15,1,762,1669,13,4485,2.616e+04,3.742e+06,281.6,27.37,3.648e+06,3.648e+05,52.59,2.569,56.29,15.84,45.23,26.99,1.052e+04,863.1
16,2,680,1692,13,177,348,5.937e+04,34.32,17.44,5.789e+04,5789,10.54,0.4863,6.406,8.346,nan,1.146,394.7,116.5
17,1,1315,1341,43,4.462e+04,1.837e+05,9.378e+07,745.7,28.44,9.143e+07,9.143e+06,127.6,6.43,20.46,30.74,36.76,7.296,3.392e+05,1.011e+04
18,1,1315,1341,43,4.436e+04,1.833e+05,8.756e+07,745,28.44,8.537e+07,8.537e+06,127.1,6.299,20.67,30.8,37.04,2.71,3.154e+05,1.006e+04
19,1,1315,1341,43,4.456e+04,1.836e+05,8.996e+07,745.6,28.44,8.771e+07,8.771e+06,127.2,6.322,20.69,30.82,37.07,5.764,3.264e+05,1.014e+04
